id,first_name,last_name,gender,Math_score,Science_score,average_score,grade
499,Rudolph,Garraway,Male,62.0,,,D
500,Nicki,Touhig,Female,59.0,100.0,79.5,C
501,Solly,Carren,Male,91.0,60.0,75.5,C
502,Flor,Florez,Female,86.0,89.0,87.5,B
503,Loretta,Kyne,Female,92.0,71.0,81.5,B
504,Wynnie,Attenbarrow,Female,65.0,,,D
505,Zebulon,Woolvett,Male,,93.0,,D
506,Tomas,Brunotti,Male,58.0,70.0,64.0,D
507,Ellsworth,Peer,Male,87.0,85.0,86.0,B
508,Scotty,Crolla,Male,67.0,81.0,74.0,C
509,Jefferey,Alexandre,Male,68.0,88.0,78.0,C
510,Gayleen,Shimmin,Female,,69.0,,D
511,Scarface,Aleksich,Male,91.0,99.0,95.0,A
512,Chase,Harris,Male,79.0,,,D
513,Kent,Cogan,Agender,61.0,,,D
514,Mella,Rusk,Female,68.0,93.0,80.5,B
515,Cristionna,Robjohns,Female,,64.0,,D
516,Doti,McQuilliam,Female,70.0,57.0,63.5,D
517,Bondon,Doxsey,Male,97.0,95.0,96.0,A
518,Bealle,Meach,Male,71.0,,,D
519,Shaw,Sweatman,Male,74.0,,,D
520,Flossie,Dumbarton,Female,90.0,65.0,77.5,C
521,Karla,Harbin,Female,56.0,78.0,67.0,D
522,Fara,Citrine,Female,74.0,60.0,67.0,D
523,Janeen,Valentim,Polygender,68.0,85.0,76.5,C
524,Maurine,Hanniger,Female,84.0,56.0,70.0,C
525,Damian,Ferrolli,Male,57.0,76.0,66.5,D
526,Barry,Brussell,Female,59.0,93.0,76.0,C
527,Isidor,Keaves,Male,91.0,,,D
528,Aloisia,Bownd,Female,100.0,67.0,83.5,B
529,Madelaine,Lorrimer,Female,63.0,92.0,77.5,C
530,Herschel,Lauxmann,Male,100.0,96.0,98.0,A
531,Daloris,Robottham,Female,72.0,73.0,72.5,C
532,Eamon,Corrin,Male,97.0,57.0,77.0,C
533,Emlynne,Annakin,Female,99.0,72.0,85.5,B
534,Erick,Pawlicki,Male,87.0,58.0,72.5,C
535,Jilleen,MacLaverty,Non-binary,100.0,99.0,99.5,A
536,Fee,Wyrall,Male,,67.0,,D
537,Cedric,Guttridge,Male,59.0,99.0,79.0,C
538,Hailey,Teale,Agender,94.0,,,D
539,Rossie,Fevers,Male,97.0,58.0,77.5,C
540,Peggie,Aitken,Female,62.0,,,D
541,Dev,Oxborrow,Male,64.0,97.0,80.5,B
542,Amargo,Hamlen,Female,84.0,78.0,81.0,B
543,Lani,Cranidge,Female,98.0,65.0,81.5,B
544,Serge,Duinkerk,Male,66.0,,,D
545,Abagail,Crowche,Genderfluid,82.0,100.0,91.0,A
546,Letisha,Paslow,Female,58.0,,,D
547,Gery,Adamovich,Male,71.0,75.0,73.0,C
548,Vidovic,Gerlts,Male,85.0,67.0,76.0,C
549,Durante,Melia,Male,56.0,65.0,60.5,D
550,Vite,Harce,Male,81.0,61.0,71.0,C
551,Eulalie,Heppenspall,Bigender,66.0,79.0,72.5,C
552,Tracey,Parade,Male,67.0,75.0,71.0,C
553,Gretchen,Findon,Female,57.0,72.0,64.5,D
554,Thorsten,Mulqueen,Genderqueer,95.0,89.0,92.0,A
555,Filmer,Escofier,Male,69.0,60.0,64.5,D
556,Karlan,Phelp,Male,69.0,82.0,75.5,C
557,Chloette,Barlas,Female,64.0,92.0,78.0,C
558,Dyan,Kenyon,Female,82.0,68.0,75.0,C
559,Bron,Everson,Male,,83.0,,D
560,Faye,Kneesha,Female,88.0,85.0,86.5,B
561,Gardy,Maccrae,Male,77.0,97.0,87.0,B
562,Carita,Blakebrough,Female,85.0,79.0,82.0,B
563,Crystal,Boylund,Female,,82.0,,D
564,Trev,Crisell,Male,80.0,93.0,86.5,B
565,Donica,Shelf,Female,70.0,87.0,78.5,C
566,Caprice,Bradly,Female,86.0,70.0,78.0,C
567,Tobin,Belson,Male,89.0,55.0,72.0,C
568,Sibilla,Bartlomiejczyk,Female,99.0,64.0,81.5,B
569,Bili,Jorge,Female,94.0,81.0,87.5,B
570,Amara,Hortop,Female,96.0,85.0,90.5,A
571,Way,Reinger,Male,77.0,85.0,81.0,B
572,Alasdair,Habershon,Male,,73.0,,D
573,Frances,Laville,Female,57.0,86.0,71.5,C
574,Ariel,Janiszewski,Male,79.0,89.0,84.0,B
575,Stephine,Garza,Female,72.0,,,D
576,Bebe,Quartley,Female,71.0,65.0,68.0,D
577,Brana,McGaraghan,Female,,61.0,,D
578,Jessa,Hawley,Female,90.0,57.0,73.5,C
579,Logan,Inggall,Male,77.0,64.0,70.5,C
580,Yolande,Sammons,Female,71.0,56.0,63.5,D
581,Leela,Toombs,Female,90.0,,,D
582,Mallory,Byer,Male,85.0,86.0,85.5,B
583,Germain,Jerrome,Male,74.0,82.0,78.0,C
584,Dani,Wetwood,Female,67.0,93.0,80.0,B
585,Ab,Erdes,Male,,66.0,,D
586,Jacqueline,Malyon,Female,69.0,86.0,77.5,C
587,Lettie,Tollmache,Female,61.0,92.0,76.5,C
588,Horatius,January,Male,89.0,94.0,91.5,A
589,Therese,Leadbitter,Female,58.0,58.0,58.0,D
590,Liana,Sebright,Female,84.0,59.0,71.5,C
591,Curry,Lambertini,Male,93.0,97.0,95.0,A
592,Brennan,Sneesby,Male,,77.0,,D
593,Merell,Meininking,Male,66.0,,,D
594,Wilfred,Ardy,Male,73.0,83.0,78.0,C
595,Sammy,Matyas,Female,80.0,,,D
596,Pepe,Signore,Male,,,,D
597,Celestia,Orlton,Female,97.0,84.0,90.5,A
598,Rayna,MacDaid,Female,90.0,96.0,93.0,A
599,Robbert,Klimmek,Male,96.0,92.0,94.0,A
600,Erie,Lints,Male,77.0,,,D
601,Prince,Ochterlonie,Male,89.0,70.0,79.5,C
602,Elias,Radish,Male,89.0,66.0,77.5,C
603,Hartley,Van Eeden,Male,64.0,94.0,79.0,C
604,Storm,Whitley,Female,62.0,,,D
605,Holt,Lewtey,Agender,83.0,68.0,75.5,C
606,Ludovika,Felton,Female,,88.0,,D
607,Gennifer,McMeekan,Female,87.0,83.0,85.0,B
608,Silvain,Costin,Male,100.0,94.0,97.0,A
609,Rich,Camerati,Male,89.0,90.0,89.5,B
610,Hy,Lauder,Male,75.0,87.0,81.0,B
611,Morena,Petche,Genderqueer,,58.0,,D
612,Hortense,Trevor,Female,97.0,63.0,80.0,B
613,Gar,Southgate,Male,97.0,,,D
614,Almeta,Shilladay,Female,60.0,71.0,65.5,D
615,Herminia,Antley,Genderfluid,69.0,58.0,63.5,D
616,Sashenka,Saffill,Female,92.0,66.0,79.0,C
617,Sascha,Giacubo,Male,95.0,63.0,79.0,C
618,Katleen,Cragg,Female,64.0,85.0,74.5,C
619,Chryste,Teodori,Female,61.0,,,D
620,Filippa,Brettel,Female,73.0,67.0,70.0,C
621,Nikoletta,Ramalho,Female,61.0,59.0,60.0,D
622,Erna,Jessope,Female,92.0,55.0,73.5,C
623,Nevil,Ewbanck,Male,82.0,69.0,75.5,C
624,Heida,Pritchett,Female,99.0,82.0,90.5,A
625,Kassia,Blasio,Female,76.0,76.0,76.0,C
626,Lynnette,Attew,Female,100.0,69.0,84.5,B
627,Skippy,Argo,Male,82.0,84.0,83.0,B
628,Filide,Meeks,Female,67.0,84.0,75.5,C
629,Mufinella,Kinnear,Female,90.0,95.0,92.5,A
630,Dacie,Mutter,Female,82.0,100.0,91.0,A
631,Erda,Order,Bigender,,60.0,,D
632,Vidovic,Stoffler,Male,60.0,60.0,60.0,D
633,Ettie,Crysell,Female,56.0,,,D
634,Farris,Axten,Male,78.0,56.0,67.0,D
635,Sawyere,Starkey,Male,98.0,95.0,96.5,A
636,Hersh,Woonton,Male,,71.0,,D
637,Richart,Fowell,Male,56.0,60.0,58.0,D
638,Currey,Wordley,Male,59.0,78.0,68.5,D
639,Walsh,Muffin,Male,82.0,,,D
640,Maible,Spedding,Non-binary,71.0,63.0,67.0,D
641,Amerigo,Baert,Male,72.0,,,D
642,Stephannie,Brownjohn,Female,66.0,70.0,68.0,D
643,Jonas,Coultish,Polygender,80.0,68.0,74.0,C
644,Alessandra,Folshom,Female,79.0,79.0,79.0,C
645,Rosana,Londing,Female,81.0,63.0,72.0,C
646,Robenia,Whitley,Female,90.0,95.0,92.5,A
647,Curtice,Weeden,Male,63.0,55.0,59.0,D
648,Mariejeanne,Ottosen,Female,66.0,93.0,79.5,C
649,Thaddus,Jeffs,Male,94.0,,,D
650,Drugi,Calles,Male,66.0,90.0,78.0,C
651,Garwood,Tuffley,Male,99.0,93.0,96.0,A
652,Dannye,Sinderson,Female,86.0,,,D
653,Vivi,Fysh,Female,,79.0,,D
654,Broderic,Velte,Male,,77.0,,D
655,Sabina,Romaine,Female,92.0,,,D
656,Joseito,Crayk,Male,,73.0,,D
657,Cazzie,Gillott,Male,,74.0,,D
658,Nilson,Danev,Male,66.0,87.0,76.5,C
659,Melody,Ionnisian,Female,60.0,83.0,71.5,C
660,Brigida,Switland,Female,88.0,66.0,77.0,C
661,Jule,McGaugey,Male,93.0,,,D
662,Roy,Connal,Male,55.0,65.0,60.0,D
663,Agretha,Eggerton,Female,68.0,100.0,84.0,B
664,Abran,Novelli,Male,,63.0,,D
665,Lamar,Mettetal,Bigender,77.0,99.0,88.0,B
666,Darn,Nequest,Male,81.0,98.0,89.5,B
667,Arnoldo,Klulisek,Male,91.0,75.0,83.0,B
668,Ted,Merwood,Female,73.0,89.0,81.0,B
669,Oneida,Surpliss,Female,79.0,57.0,68.0,D
670,Huntley,Vamplers,Male,86.0,89.0,87.5,B
671,Avigdor,Gaddes,Male,,82.0,,D
672,Phillis,Aubert,Female,,69.0,,D
673,Rod,Buston,Male,81.0,91.0,86.0,B
674,Marney,Gossage,Female,,95.0,,D
675,Tirrell,Tarpey,Bigender,91.0,65.0,78.0,C
676,Clarissa,Elmhurst,Female,81.0,83.0,82.0,B
677,Celle,Biasetti,Female,67.0,98.0,82.5,B
678,Burnaby,Camel,Male,72.0,65.0,68.5,D
679,Heindrick,Chishull,Male,99.0,58.0,78.5,C
680,Shane,Lawson,Female,64.0,67.0,65.5,D
681,Carce,Pettett,Male,66.0,78.0,72.0,C
682,Dalila,Wellington,Polygender,93.0,,,D
683,Cecil,Trussman,Male,70.0,92.0,81.0,B
684,Chalmers,Colston,Male,100.0,78.0,89.0,B
685,Kelly,Font,Female,70.0,85.0,77.5,C
686,Ania,Frear,Genderqueer,88.0,88.0,88.0,B
687,Christin,Huxham,Female,,73.0,,D
688,Timotheus,Tidman,Male,,86.0,,D
689,Berne,Lavrinov,Male,68.0,70.0,69.0,D
690,Markus,Eastup,Male,66.0,84.0,75.0,C
691,Fairfax,Isacoff,Male,58.0,80.0,69.0,D
692,Josepha,De Souza,Female,63.0,82.0,72.5,C
693,Piper,Rorke,Genderqueer,,88.0,,D
694,Hort,Rylstone,Male,80.0,67.0,73.5,C
695,Verene,Pochet,Female,69.0,91.0,80.0,B
696,Gearard,Mengo,Male,59.0,96.0,77.5,C
697,Lewes,Pirazzi,Male,98.0,89.0,93.5,A
698,Rhys,Blaxeland,Male,97.0,,,D
699,Leeanne,Parkman,Female,56.0,77.0,66.5,D
700,Ania,Rospars,Bigender,86.0,75.0,80.5,B
701,Christen,Pettyfer,Female,,56.0,,D
702,Bax,Grass,Polygender,81.0,74.0,77.5,C
703,Edan,Rawlingson,Male,94.0,68.0,81.0,B
704,Lotty,Hovard,Female,97.0,67.0,82.0,B
705,Nan,Briddock,Female,92.0,59.0,75.5,C
706,Gerick,Gready,Male,66.0,87.0,76.5,C
707,Katrina,Nutty,Female,80.0,84.0,82.0,B
708,Kati,Hatherell,Female,67.0,96.0,81.5,B
709,Billye,Sawnwy,Female,61.0,56.0,58.5,D
710,Wat,Stallwood,Male,81.0,88.0,84.5,B
711,Oby,Sherreard,Male,,62.0,,D
712,Yelena,Fawcett,Female,96.0,69.0,82.5,B
713,Guillemette,Yandell,Female,93.0,72.0,82.5,B
714,Bella,Makepeace,Female,75.0,81.0,78.0,C
715,Britney,Seagrove,Female,64.0,72.0,68.0,D
716,Muffin,Dorcey,Male,,62.0,,D
717,Mahalia,Kubatsch,Female,,89.0,,D
718,Teodorico,Noades,Male,63.0,88.0,75.5,C
719,Daniella,Aldrin,Female,81.0,,,D
720,Link,Cristofalo,Male,75.0,89.0,82.0,B
721,Shina,Aizic,Female,70.0,55.0,62.5,D
722,Dag,Sharrocks,Male,,96.0,,D
723,Loria,Lovemore,Female,69.0,81.0,75.0,C
724,Uriel,Mould,Male,84.0,82.0,83.0,B
725,Sheila-kathryn,Iacoboni,Female,93.0,96.0,94.5,A
726,Carlee,Shermore,Female,93.0,69.0,81.0,B
727,Uri,Gildersleeve,Male,85.0,55.0,70.0,C
728,Ivor,Doring,Male,100.0,79.0,89.5,B
729,Rona,De Vaar,Female,,86.0,,D
730,Bryn,Tulloch,Male,63.0,79.0,71.0,C
731,Alisa,Yuryichev,Female,79.0,72.0,75.5,C
732,Sheena,Guerola,Female,72.0,97.0,84.5,B
733,Allayne,Bulluck,Male,59.0,57.0,58.0,D
734,Hortense,Wyllie,Genderqueer,76.0,63.0,69.5,D
735,Dore,Parr,Male,56.0,67.0,61.5,D
736,Nial,Clericoates,Male,,59.0,,D
737,Homere,Stickney,Male,69.0,,,D
738,Bernelle,Casazza,Female,85.0,69.0,77.0,C
739,Mikael,Georgeau,Male,95.0,82.0,88.5,B
740,Birdie,Ishak,Genderfluid,70.0,68.0,69.0,D
741,Elmo,Chelnam,Male,62.0,73.0,67.5,D
742,Emanuele,Brittan,Male,65.0,62.0,63.5,D
743,Malissia,Whitmell,Bigender,,64.0,,D
744,Jami,Constantine,Female,92.0,55.0,73.5,C
745,Keelby,Dudderidge,Male,82.0,81.0,81.5,B
746,Kaleena,Brendeke,Female,60.0,77.0,68.5,D
747,Ronny,Jupp,Male,,91.0,,D
748,Gertie,Gentzsch,Female,98.0,73.0,85.5,B
749,Berk,Petrazzi,Male,72.0,93.0,82.5,B
750,Rosie,Champness,Female,98.0,90.0,94.0,A
751,Tiebout,Tirone,Male,,91.0,,D
752,Marta,Walbridge,Female,95.0,60.0,77.5,C
753,Lane,Daintree,Female,,,,D
754,Xenos,Geeritz,Male,,,,D
755,Ethelyn,Batha,Female,76.0,83.0,79.5,C
756,Skell,Szanto,Male,67.0,88.0,77.5,C
757,Harmonia,Redmond,Female,90.0,58.0,74.0,C
758,Tommy,MacCauley,Female,,83.0,,D
759,Lissie,Dat,Female,58.0,99.0,78.5,C
760,Vernen,Castilljo,Male,58.0,72.0,65.0,D
761,Emmy,Kiernan,Female,71.0,63.0,67.0,D
762,Roseanne,Copsey,Female,73.0,64.0,68.5,D
763,Herculie,Goreway,Male,64.0,75.0,69.5,D
764,Honey,Crunkhorn,Female,62.0,,,D
765,Jerrylee,Dods,Female,84.0,88.0,86.0,B
766,Yvor,Poyntz,Male,70.0,63.0,66.5,D
767,Mattheus,Alwood,Male,99.0,100.0,99.5,A
768,Carilyn,Ashford,Female,58.0,,,D
769,Lombard,Cavet,Male,76.0,75.0,75.5,C
770,Henrik,Jaszczak,Male,,,,D
771,Bernetta,Statton,Female,88.0,67.0,77.5,C
772,Aline,Gyorgy,Non-binary,55.0,,,D
773,Dredi,Dobrovolski,Female,77.0,66.0,71.5,C
774,Nyssa,Moughtin,Female,,95.0,,D
775,Salomi,Fleet,Female,57.0,59.0,58.0,D
776,Freida,Crozier,Female,61.0,89.0,75.0,C
777,Franz,Maidstone,Male,94.0,72.0,83.0,B
778,Silvano,Arnoult,Male,100.0,61.0,80.5,B
779,Lucian,Kensy,Male,,91.0,,D
780,Itch,Poff,Genderfluid,75.0,99.0,87.0,B
781,Nathalie,Jeger,Female,100.0,82.0,91.0,A
782,Zia,Korda,Female,,75.0,,D
783,Gaspard,Sherbrook,Male,,76.0,,D
784,Tobin,Merali,Male,67.0,59.0,63.0,D
785,Gannie,Simioni,Male,85.0,81.0,83.0,B
786,Harland,Dun,Male,73.0,87.0,80.0,B
787,Tana,Goold,Genderfluid,85.0,67.0,76.0,C
788,Whitney,Willerton,Female,,,,D
789,Roby,Vogl,Female,93.0,94.0,93.5,A
790,Olivier,Keijser,Male,88.0,84.0,86.0,B
791,Jocelyn,Duffett,Female,76.0,85.0,80.5,B
792,Osbourne,Bradnum,Male,89.0,68.0,78.5,C
793,Hort,Dawbery,Male,85.0,95.0,90.0,A
794,Barbaraanne,Cordall,Female,,73.0,,D
795,Liane,O'Lunny,Female,78.0,,,D
796,Arlan,Silverson,Male,87.0,94.0,90.5,A
797,Broddy,Smittoune,Male,69.0,98.0,83.5,B
798,Gottfried,Ruffell,Male,73.0,83.0,78.0,C
799,Floria,Halworth,Female,,76.0,,D
800,Oralle,McGilvray,Female,90.0,72.0,81.0,B
801,Rodger,Gason,Male,57.0,87.0,72.0,C
802,Modestine,Petty,Female,84.0,55.0,69.5,D
803,Lindsey,Kopfer,Male,95.0,78.0,86.5,B
804,Carlo,Kareman,Male,79.0,78.0,78.5,C
805,Druci,Stonhard,Female,79.0,77.0,78.0,C
806,Bail,Geddis,Male,56.0,98.0,77.0,C
807,Camey,Tregonna,Male,82.0,,,D
808,Loreen,Saville,Female,97.0,62.0,79.5,C
809,Teresa,Avey,Female,65.0,85.0,75.0,C
810,Garrick,Donovan,Male,,98.0,,D
811,Amabel,Gozney,Female,79.0,85.0,82.0,B
812,Mata,Lawlance,Male,100.0,84.0,92.0,A
813,Beauregard,Danelutti,Genderfluid,95.0,79.0,87.0,B
814,Jill,Sherlaw,Female,69.0,81.0,75.0,C
815,Alaster,Jonke,Male,69.0,76.0,72.5,C
816,Carney,Oris,Male,81.0,60.0,70.5,C
817,Dal,Skellington,Male,56.0,68.0,62.0,D
818,Angy,Trethowan,Female,90.0,86.0,88.0,B
819,Thorin,Berzons,Male,88.0,77.0,82.5,B
820,Cirilo,Illingsworth,Male,59.0,82.0,70.5,C
821,Rowney,Lafay,Male,82.0,92.0,87.0,B
822,Cobb,Scurry,Male,66.0,,,D
823,Tobias,Penhaligon,Male,75.0,79.0,77.0,C
824,Kaitlynn,Litchmore,Female,86.0,91.0,88.5,B
825,Traver,Cockney,Male,69.0,69.0,69.0,D
826,Hilton,Aronow,Male,74.0,99.0,86.5,B
827,Ann,Billiard,Female,87.0,63.0,75.0,C
828,Joyan,Crowter,Female,67.0,66.0,66.5,D
829,Cheri,Drewson,Female,,77.0,,D
830,Herbie,Constance,Male,56.0,89.0,72.5,C
831,Sayer,Tomney,Male,84.0,95.0,89.5,B
832,Birgit,Leahy,Genderfluid,70.0,,,D
833,Octavius,Tutin,Polygender,98.0,80.0,89.0,B
834,Sid,Boddice,Male,75.0,93.0,84.0,B
835,Hayley,Mucklestone,Female,81.0,94.0,87.5,B
836,Bone,Viscovi,Male,94.0,94.0,94.0,A
837,Aubine,Leggat,Female,88.0,97.0,92.5,A
838,Reena,Scranney,Female,59.0,78.0,68.5,D
839,Tonia,Razzell,Female,83.0,65.0,74.0,C
840,Tami,Frill,Female,87.0,90.0,88.5,B
841,Karen,Kingcote,Female,100.0,90.0,95.0,A
842,Jarid,Ewells,Male,92.0,69.0,80.5,B
843,Dyana,Gilvary,Female,,56.0,,D
844,Kaine,Kless,Male,63.0,63.0,63.0,D
845,Cirilo,Hawk,Agender,,60.0,,D
846,Opal,Pineaux,Female,74.0,,,D
847,Brita,Biaggi,Female,,86.0,,D
848,Cullan,Banbrigge,Male,79.0,72.0,75.5,C
849,Manon,Colbran,Female,60.0,89.0,74.5,C
850,Wendy,Moreing,Female,81.0,96.0,88.5,B
851,Bev,Ferrie,Female,,83.0,,D
852,Sonja,Uccello,Female,56.0,98.0,77.0,C
853,Lennard,Sumshon,Male,72.0,61.0,66.5,D
854,Alyson,Willmot,Female,89.0,87.0,88.0,B
855,Curtice,Jennaway,Male,67.0,,,D
856,Robinett,Piele,Female,61.0,94.0,77.5,C
857,Abbey,Fibbens,Male,60.0,93.0,76.5,C
858,Krystle,Waddie,Female,90.0,93.0,91.5,A
859,Shawnee,Lampart,Female,93.0,97.0,95.0,A
860,Geoffrey,Itzkovwitch,Non-binary,79.0,55.0,67.0,D
861,Nonnah,Fader,Female,98.0,74.0,86.0,B
862,Sumner,Bestwerthick,Male,92.0,84.0,88.0,B
863,Angele,Somner,Female,64.0,74.0,69.0,D
864,Dennet,Yaus,Bigender,65.0,56.0,60.5,D
865,Sioux,Crookall,Female,,92.0,,D
866,Fredi,Piscopo,Female,86.0,96.0,91.0,A
867,Grier,Bickley,Female,80.0,81.0,80.5,B
868,Thadeus,Blucher,Male,95.0,90.0,92.5,A
869,Hildy,Blackburne,Female,74.0,71.0,72.5,C
870,Verina,Antosch,Female,68.0,64.0,66.0,D
871,Hilary,Croxton,Male,84.0,,,D
872,Everard,Heynen,Male,87.0,55.0,71.0,C
873,Tiphanie,Dunne,Female,100.0,60.0,80.0,B
874,Stepha,Frostdicke,Female,86.0,,,D
875,Therine,McIlmorie,Female,75.0,68.0,71.5,C
876,Vikki,Laborde,Female,85.0,,,D
877,Rufe,Cowins,Male,68.0,75.0,71.5,C
878,Page,Mattecot,Male,,95.0,,D
879,Ashbey,Aiskrigg,Male,94.0,87.0,90.5,A
880,Patrice,Leyrroyd,Male,60.0,97.0,78.5,C
881,Winifred,Grattage,Female,68.0,86.0,77.0,C
882,Hayden,Deeks,Male,59.0,62.0,60.5,D
883,Melodie,Aronstam,Female,94.0,57.0,75.5,C
884,Lukas,Dinwoodie,Male,88.0,,,D
885,Annabela,Gulley,Female,64.0,81.0,72.5,C
886,Boigie,M'Chirrie,Male,93.0,68.0,80.5,B
887,Kip,Benzi,Agender,88.0,65.0,76.5,C
888,Leicester,Klaaassen,Male,99.0,60.0,79.5,C
889,Meggy,Govier,Female,89.0,89.0,89.0,B
890,Justen,Toffetto,Male,96.0,66.0,81.0,B
891,Bonny,Wilber,Genderqueer,95.0,57.0,76.0,C
892,Martha,Lafont,Female,55.0,58.0,56.5,D
893,Brooke,Dyerson,Male,55.0,94.0,74.5,C
894,Franchot,Jakubowski,Male,,90.0,,D
895,Ophelia,Bugbird,Female,,,,D
896,Randi,Atkinson,Male,84.0,72.0,78.0,C
897,Wolf,Chatain,Male,,,,D
898,Zack,Paroni,Male,74.0,72.0,73.0,C
899,Gasparo,Lowbridge,Male,66.0,75.0,70.5,C
900,Fina,Yarham,Female,63.0,63.0,63.0,D
901,Horacio,Kempshall,Male,63.0,74.0,68.5,D
902,Delores,Wordley,Female,73.0,84.0,78.5,C
903,Fran,Nendick,Genderqueer,82.0,63.0,72.5,C
904,Abbie,Feckey,Female,88.0,100.0,94.0,A
905,Rodolphe,Milam,Male,61.0,90.0,75.5,C
906,Fergus,Slimon,Male,93.0,64.0,78.5,C
907,Alfonso,Weatherby,Male,78.0,85.0,81.5,B
908,Irena,Prendergast,Female,72.0,65.0,68.5,D
909,Edlin,Ferreiro,Male,99.0,72.0,85.5,B
910,Immanuel,Renzo,Male,,88.0,,D
911,Maje,Bridywater,Male,62.0,,,D
912,Bobbi,Heining,Non-binary,99.0,67.0,83.0,B
913,Aggie,Prendergast,Female,59.0,100.0,79.5,C
914,Truman,Weathey,Polygender,77.0,99.0,88.0,B
915,Tynan,Wurz,Male,74.0,86.0,80.0,B
916,Tabbitha,Brayne,Female,99.0,93.0,96.0,A
917,Earl,Boustred,Male,81.0,92.0,86.5,B
918,Jervis,Ashdown,Male,64.0,91.0,77.5,C
919,Lexie,Edgson,Female,83.0,63.0,73.0,C
920,Ortensia,Sargeaunt,Female,,83.0,,D
921,Nydia,Scoggins,Female,87.0,83.0,85.0,B
922,Celka,Deverill,Female,86.0,77.0,81.5,B
923,Lucias,Abadam,Male,96.0,77.0,86.5,B
924,Leicester,Kivits,Male,82.0,64.0,73.0,C
925,Nady,Webermann,Female,96.0,,,D
926,Glyn,Soles,Male,66.0,85.0,75.5,C
927,Inessa,Morillas,Female,97.0,56.0,76.5,C
928,Morena,Mannooch,Female,,63.0,,D
929,Elset,Jaquin,Female,78.0,,,D
930,Kala,Bissill,Female,100.0,69.0,84.5,B
931,Ronnica,Sisson,Female,56.0,75.0,65.5,D
932,Clarke,Gregan,Male,90.0,61.0,75.5,C
933,Justus,Slaight,Male,68.0,92.0,80.0,B
934,Donall,Clow,Male,56.0,85.0,70.5,C
935,Xylina,Hazart,Female,69.0,84.0,76.5,C
936,Ulla,Acaster,Female,73.0,89.0,81.0,B
937,Mayor,Scrimshire,Male,,91.0,,D
938,Burr,Plumridge,Male,69.0,57.0,63.0,D
939,Sebastiano,Jenken,Male,55.0,96.0,75.5,C
940,Chelsey,Enric,Female,,86.0,,D
941,Amalee,Izen,Female,93.0,65.0,79.0,C
942,Bertrand,Vesque,Male,63.0,67.0,65.0,D
943,Isabella,Purvess,Female,56.0,87.0,71.5,C
944,Luise,Jachtym,Female,75.0,90.0,82.5,B
945,Jerry,Ibel,Male,63.0,59.0,61.0,D
946,Ragnar,Dillistone,Male,71.0,96.0,83.5,B
947,Sidonnie,Storry,Female,86.0,57.0,71.5,C
948,Parry,McDuffy,Non-binary,74.0,64.0,69.0,D
949,Emlyn,Caulcott,Male,79.0,82.0,80.5,B
950,Aluin,Eynaud,Male,,88.0,,D
951,Zitella,Vala,Female,88.0,70.0,79.0,C
952,Kyla,Beechcraft,Female,,96.0,,D
953,Dalia,Fidler,Female,98.0,61.0,79.5,C
954,Rikki,Millsap,Female,71.0,81.0,76.0,C
955,Garrik,Olensby,Male,75.0,60.0,67.5,D
956,Ada,Hort,Female,84.0,80.0,82.0,B
957,Agnella,Gilgryst,Female,78.0,82.0,80.0,B
958,Cara,Beckmann,Female,89.0,61.0,75.0,C
959,Yoko,Rosenbaum,Female,100.0,71.0,85.5,B
960,Jacky,Firby,Female,61.0,78.0,69.5,D
961,Derrick,Baudrey,Non-binary,92.0,,,D
962,Teresa,Geane,Female,72.0,66.0,69.0,D
963,Aaron,Rieger,Male,86.0,69.0,77.5,C
964,Ninetta,Alastair,Female,,,,D
965,Marne,Putson,Female,,78.0,,D
966,Nalani,Eathorne,Female,,63.0,,D
967,Rodolph,Willavoys,Male,56.0,94.0,75.0,C
968,Kenna,Galfour,Female,87.0,94.0,90.5,A
969,Marthe,Rawcliffe,Female,56.0,84.0,70.0,C
970,Gay,Toxell,Male,80.0,64.0,72.0,C
971,Flore,Nial,Female,59.0,75.0,67.0,D
972,Mario,Brissenden,Male,95.0,74.0,84.5,B
973,Garvey,O'Donnell,Male,71.0,95.0,83.0,B
974,Malchy,Hagston,Male,87.0,69.0,78.0,C
975,Mellisa,Kaysor,Female,81.0,,,D
976,Nathanial,Meco,Male,76.0,96.0,86.0,B
977,Marji,Mennithorp,Female,65.0,96.0,80.5,B
978,Munmro,Gorrissen,Male,60.0,69.0,64.5,D
979,Louise,Magauran,Female,69.0,62.0,65.5,D
980,Sadie,Canto,Female,79.0,55.0,67.0,D
981,Ken,Dowsing,Male,,59.0,,D
982,Chancey,Barreau,Male,97.0,79.0,88.0,B
983,Taber,Mullany,Male,88.0,86.0,87.0,B
984,Merl,Barson,Female,88.0,66.0,77.0,C
985,Raddie,Cousens,Male,65.0,89.0,77.0,C
986,Kordula,Beushaw,Female,61.0,96.0,78.5,C
987,Doralia,Haitlie,Female,75.0,,,D
988,Storm,Muino,Female,,88.0,,D
989,Rogerio,Kleis,Male,89.0,61.0,75.0,C
990,Fanechka,Keeling,Female,87.0,75.0,81.0,B
991,Kyle,Rickell,Male,71.0,62.0,66.5,D
992,Gabi,Rushe,Female,98.0,75.0,86.5,B
993,Stanley,Malter,Non-binary,92.0,63.0,77.5,C
994,Silvano,Bolley,Male,85.0,56.0,70.5,C
995,Vincent,Yakebovitch,Male,58.0,68.0,63.0,D
996,Stu,Gudgion,Male,81.0,73.0,77.0,C
