id,first_name,last_name,gender,Math_score,Science_score
727,Uri,Gildersleeve,Male,85,55
728,Ivor,Doring,Male,100,79
729,Rona,De Vaar,Female,,86
730,Bryn,Tulloch,Male,63,79
731,Alisa,Yuryichev,Female,79,72
732,Sheena,Guerola,Female,72,97
733,Allayne,Bulluck,Male,59,57
734,Hortense,Wyllie,Genderqueer,76,63
735,Dore,Parr,Male,56,67
736,Nial,Clericoates,Male,,59
737,Homere,Stickney,Male,69,
738,Bernelle,Casazza,Female,85,69
739,Mikael,Georgeau,Male,95,82
740,Birdie,Ishak,Genderfluid,70,68
741,Elmo,Chelnam,Male,62,73
742,Emanuele,Brittan,Male,65,62
743,Malissia,Whitmell,Bigender,,64
744,Jami,Constantine,Female,92,55
745,Keelby,Dudderidge,Male,82,81
746,Kaleena,Brendeke,Female,60,77
747,Ronny,Jupp,Male,,91
748,Gertie,Gentzsch,Female,98,73
749,Berk,Petrazzi,Male,72,93
750,Rosie,Champness,Female,98,90
751,Tiebout,Tirone,Male,,91
752,Marta,Walbridge,Female,95,60
753,Lane,Daintree,Female,,
754,Xenos,Geeritz,Male,,
755,Ethelyn,Batha,Female,76,83
756,Skell,Szanto,Male,67,88
757,Harmonia,Redmond,Female,90,58
758,Tommy,MacCauley,Female,,83
759,Lissie,Dat,Female,58,99
760,Vernen,Castilljo,Male,58,72
761,Emmy,Kiernan,Female,71,63
762,Roseanne,Copsey,Female,73,64
763,Herculie,Goreway,Male,64,75
764,Honey,Crunkhorn,Female,62,
765,Jerrylee,Dods,Female,84,88
766,Yvor,Poyntz,Male,70,63
767,Mattheus,Alwood,Male,99,100
768,Carilyn,Ashford,Female,58,
769,Lombard,Cavet,Male,76,75
770,Henrik,Jaszczak,Male,,
771,Bernetta,Statton,Female,88,67
772,Aline,Gyorgy,Non-binary,55,
773,Dredi,Dobrovolski,Female,77,66
774,Nyssa,Moughtin,Female,,95
775,Salomi,Fleet,Female,57,59
776,Freida,Crozier,Female,61,89
777,Franz,Maidstone,Male,94,72
778,Silvano,Arnoult,Male,100,61
779,Lucian,Kensy,Male,,91
780,Itch,Poff,Genderfluid,75,99
781,Nathalie,Jeger,Female,100,82
782,Zia,Korda,Female,,75
783,Gaspard,Sherbrook,Male,,76
784,Tobin,Merali,Male,67,59
785,Gannie,Simioni,Male,85,81
786,Harland,Dun,Male,73,87
787,Tana,Goold,Genderfluid,85,67
788,Whitney,Willerton,Female,,
789,Roby,Vogl,Female,93,94
790,Olivier,Keijser,Male,88,84
791,Jocelyn,Duffett,Female,76,85
792,Osbourne,Bradnum,Male,89,68
793,Hort,Dawbery,Male,85,95
794,Barbaraanne,Cordall,Female,,73
795,Liane,O'Lunny,Female,78,
796,Arlan,Silverson,Male,87,94
797,Broddy,Smittoune,Male,69,98
798,Gottfried,Ruffell,Male,73,83
799,Floria,Halworth,Female,,76
800,Oralle,McGilvray,Female,90,72
801,Rodger,Gason,Male,57,87
802,Modestine,Petty,Female,84,55
803,Lindsey,Kopfer,Male,95,78
804,Carlo,Kareman,Male,79,78
805,Druci,Stonhard,Female,79,77
806,Bail,Geddis,Male,56,98
807,Camey,Tregonna,Male,82,
808,Loreen,Saville,Female,97,62
809,Teresa,Avey,Female,65,85
810,Garrick,Donovan,Male,,98
811,Amabel,Gozney,Female,79,85
812,Mata,Lawlance,Male,100,84
813,Beauregard,Danelutti,Genderfluid,95,79
814,Jill,Sherlaw,Female,69,81
815,Alaster,Jonke,Male,69,76
816,Carney,Oris,Male,81,60
817,Dal,Skellington,Male,56,68
818,Angy,Trethowan,Female,90,86
819,Thorin,Berzons,Male,88,77
820,Cirilo,Illingsworth,Male,59,82
821,Rowney,Lafay,Male,82,92
822,Cobb,Scurry,Male,66,
823,Tobias,Penhaligon,Male,75,79
824,Kaitlynn,Litchmore,Female,86,91
825,Traver,Cockney,Male,69,69
826,Hilton,Aronow,Male,74,99
827,Ann,Billiard,Female,87,63
828,Joyan,Crowter,Female,67,66
829,Cheri,Drewson,Female,,77
830,Herbie,Constance,Male,56,89
831,Sayer,Tomney,Male,84,95
832,Birgit,Leahy,Genderfluid,70,
833,Octavius,Tutin,Polygender,98,80
834,Sid,Boddice,Male,75,93
835,Hayley,Mucklestone,Female,81,94
836,Bone,Viscovi,Male,94,94
837,Aubine,Leggat,Female,88,97
838,Reena,Scranney,Female,59,78
839,Tonia,Razzell,Female,83,65
840,Tami,Frill,Female,87,90
841,Karen,Kingcote,Female,100,90
842,Jarid,Ewells,Male,92,69
843,Dyana,Gilvary,Female,,56
844,Kaine,Kless,Male,63,63
845,Cirilo,Hawk,Agender,,60
846,Opal,Pineaux,Female,74,
847,Brita,Biaggi,Female,,86
848,Cullan,Banbrigge,Male,79,72
849,Manon,Colbran,Female,60,89
850,Wendy,Moreing,Female,81,96
851,Bev,Ferrie,Female,,83
852,Sonja,Uccello,Female,56,98
853,Lennard,Sumshon,Male,72,61
854,Alyson,Willmot,Female,89,87
855,Curtice,Jennaway,Male,67,
856,Robinett,Piele,Female,61,94
857,Abbey,Fibbens,Male,60,93
858,Krystle,Waddie,Female,90,93
859,Shawnee,Lampart,Female,93,97
860,Geoffrey,Itzkovwitch,Non-binary,79,55
861,Nonnah,Fader,Female,98,74
862,Sumner,Bestwerthick,Male,92,84
863,Angele,Somner,Female,64,74
864,Dennet,Yaus,Bigender,65,56
865,Sioux,Crookall,Female,,92
866,Fredi,Piscopo,Female,86,96
867,Grier,Bickley,Female,80,81
868,Thadeus,Blucher,Male,95,90
869,Hildy,Blackburne,Female,74,71
870,Verina,Antosch,Female,68,64
871,Hilary,Croxton,Male,84,
872,Everard,Heynen,Male,87,55
873,Tiphanie,Dunne,Female,100,60
874,Stepha,Frostdicke,Female,86,
875,Therine,McIlmorie,Female,75,68
876,Vikki,Laborde,Female,85,
877,Rufe,Cowins,Male,68,75
878,Page,Mattecot,Male,,95
879,Ashbey,Aiskrigg,Male,94,87
880,Patrice,Leyrroyd,Male,60,97
881,Winifred,Grattage,Female,68,86
882,Hayden,Deeks,Male,59,62
883,Melodie,Aronstam,Female,94,57
884,Lukas,Dinwoodie,Male,88,
885,Annabela,Gulley,Female,64,81
886,Boigie,M'Chirrie,Male,93,68
887,Kip,Benzi,Agender,88,65
888,Leicester,Klaaassen,Male,99,60
889,Meggy,Govier,Female,89,89
890,Justen,Toffetto,Male,96,66
891,Bonny,Wilber,Genderqueer,95,57
892,Martha,Lafont,Female,55,58
893,Brooke,Dyerson,Male,55,94
894,Franchot,Jakubowski,Male,,90
895,Ophelia,Bugbird,Female,,
896,Randi,Atkinson,Male,84,72
897,Wolf,Chatain,Male,,
898,Zack,Paroni,Male,74,72
899,Gasparo,Lowbridge,Male,66,75
900,Fina,Yarham,Female,63,63
901,Horacio,Kempshall,Male,63,74
902,Delores,Wordley,Female,73,84
903,Fran,Nendick,Genderqueer,82,63
904,Abbie,Feckey,Female,88,100
905,Rodolphe,Milam,Male,61,90
906,Fergus,Slimon,Male,93,64
907,Alfonso,Weatherby,Male,78,85
908,Irena,Prendergast,Female,72,65
909,Edlin,Ferreiro,Male,99,72
910,Immanuel,Renzo,Male,,88
911,Maje,Bridywater,Male,62,
912,Bobbi,Heining,Non-binary,99,67
913,Aggie,Prendergast,Female,59,100
914,Truman,Weathey,Polygender,77,99
915,Tynan,Wurz,Male,74,86
916,Tabbitha,Brayne,Female,99,93
917,Earl,Boustred,Male,81,92
918,Jervis,Ashdown,Male,64,91
919,Lexie,Edgson,Female,83,63
920,Ortensia,Sargeaunt,Female,,83
921,Nydia,Scoggins,Female,87,83
922,Celka,Deverill,Female,86,77
923,Lucias,Abadam,Male,96,77
924,Leicester,Kivits,Male,82,64
925,Nady,Webermann,Female,96,
926,Glyn,Soles,Male,66,85
927,Inessa,Morillas,Female,97,56
928,Morena,Mannooch,Female,,63
929,Elset,Jaquin,Female,78,
930,Kala,Bissill,Female,100,69
931,Ronnica,Sisson,Female,56,75
932,Clarke,Gregan,Male,90,61
933,Justus,Slaight,Male,68,92
934,Donall,Clow,Male,56,85
935,Xylina,Hazart,Female,69,84
936,Ulla,Acaster,Female,73,89
937,Mayor,Scrimshire,Male,,91
938,Burr,Plumridge,Male,69,57
939,Sebastiano,Jenken,Male,55,96
940,Chelsey,Enric,Female,,86
941,Amalee,Izen,Female,93,65
942,Bertrand,Vesque,Male,63,67
943,Isabella,Purvess,Female,56,87
944,Luise,Jachtym,Female,75,90
945,Jerry,Ibel,Male,63,59
946,Ragnar,Dillistone,Male,71,96
947,Sidonnie,Storry,Female,86,57
948,Parry,McDuffy,Non-binary,74,64
949,Emlyn,Caulcott,Male,79,82
950,Aluin,Eynaud,Male,,88
951,Zitella,Vala,Female,88,70
952,Kyla,Beechcraft,Female,,96
953,Dalia,Fidler,Female,98,61
954,Rikki,Millsap,Female,71,81
955,Garrik,Olensby,Male,75,60
956,Ada,Hort,Female,84,80
957,Agnella,Gilgryst,Female,78,82
958,Cara,Beckmann,Female,89,61
959,Yoko,Rosenbaum,Female,100,71
960,Jacky,Firby,Female,61,78
961,Derrick,Baudrey,Non-binary,92,
962,Teresa,Geane,Female,72,66
963,Aaron,Rieger,Male,86,69
964,Ninetta,Alastair,Female,,
965,Marne,Putson,Female,,78
966,Nalani,Eathorne,Female,,63
967,Rodolph,Willavoys,Male,56,94
968,Kenna,Galfour,Female,87,94
969,Marthe,Rawcliffe,Female,56,84
970,Gay,Toxell,Male,80,64
971,Flore,Nial,Female,59,75
972,Mario,Brissenden,Male,95,74
973,Garvey,O'Donnell,Male,71,95
974,Malchy,Hagston,Male,87,69
975,Mellisa,Kaysor,Female,81,
976,Nathanial,Meco,Male,76,96
977,Marji,Mennithorp,Female,65,96
978,Munmro,Gorrissen,Male,60,69
979,Louise,Magauran,Female,69,62
980,Sadie,Canto,Female,79,55
981,Ken,Dowsing,Male,,59
982,Chancey,Barreau,Male,97,79
983,Taber,Mullany,Male,88,86
984,Merl,Barson,Female,88,66
985,Raddie,Cousens,Male,65,89
986,Kordula,Beushaw,Female,61,96
987,Doralia,Haitlie,Female,75,
988,Storm,Muino,Female,,88
989,Rogerio,Kleis,Male,89,61
990,Fanechka,Keeling,Female,87,75
991,Kyle,Rickell,Male,71,62
992,Gabi,Rushe,Female,98,75
993,Stanley,Malter,Non-binary,92,63
994,Silvano,Bolley,Male,85,56
995,Vincent,Yakebovitch,Male,58,68
996,Stu,Gudgion,Male,81,73
997,Timoteo,Edmonston,Male,73,86
998,Clo,Giacovazzo,Female,96,80
999,Zack,Parslow,Male,90,68
1000,Miguelita,Crosdill,Female,96,82
